0,2016-10-30T17:38:00.0000Z
1,2016-11-07T19:51:00.0000Z
2,2016-11-14T13:52:00.0000Z
3,2016-11-21T08:33:00.0000Z
0,2016-11-29T12:18:00.0000Z
1,2016-12-07T09:03:00.0000Z
2,2016-12-14T00:05:00.0000Z
3,2016-12-21T01:56:00.0000Z
0,2016-12-29T06:53:00.0000Z
1,2017-01-05T19:47:00.0000Z
2,2017-01-12T11:34:00.0000Z
3,2017-01-19T22:13:00.0000Z
0,2017-01-28T00:07:00.0000Z
1,2017-02-04T04:19:00.0000Z
2,2017-02-11T00:33:00.0000Z
3,2017-02-18T19:33:00.0000Z
0,2017-02-26T14:58:00.0000Z
1,2017-03-05T11:32:00.0000Z
2,2017-03-12T14:54:00.0000Z
3,2017-03-20T15:58:00.0000Z
0,2017-03-28T02:57:00.0000Z
1,2017-04-03T18:39:00.0000Z
2,2017-04-11T06:08:00.0000Z
3,2017-04-19T09:57:00.0000Z
0,2017-04-26T12:16:00.0000Z
1,2017-05-03T02:47:00.0000Z
2,2017-05-10T21:42:00.0000Z
3,2017-05-19T00:33:00.0000Z
0,2017-05-25T19:44:00.0000Z
1,2017-06-01T12:42:00.0000Z
2,2017-06-09T13:10:00.0000Z
3,2017-06-17T11:33:00.0000Z
0,2017-06-24T02:31:00.0000Z
1,2017-07-01T00:51:00.0000Z
2,2017-07-09T04:07:00.0000Z
3,2017-07-16T19:26:00.0000Z
0,2017-07-23T09:46:00.0000Z
1,2017-07-30T15:23:00.0000Z
2,2017-08-07T18:11:00.0000Z
3,2017-08-15T01:15:00.0000Z
0,2017-08-21T18:30:00.0000Z
1,2017-08-29T08:13:00.0000Z
2,2017-09-06T07:03:00.0000Z
3,2017-09-13T06:25:00.0000Z
0,2017-09-20T05:30:00.0000Z
1,2017-09-28T02:54:00.0000Z
2,2017-10-05T18:40:00.0000Z
3,2017-10-12T12:25:00.0000Z
0,2017-10-19T19:12:00.0000Z
1,2017-10-27T22:22:00.0000Z
2,2017-11-04T05:23:00.0000Z
3,2017-11-10T20:36:00.0000Z
0,2017-11-18T11:42:00.0000Z
1,2017-11-26T17:03:00.0000Z
2,2017-12-03T15:47:00.0000Z
3,2017-12-10T07:51:00.0000Z
0,2017-12-18T06:30:00.0000Z
1,2017-12-26T09:20:00.0000Z
2,2018-01-02T02:24:00.0000Z
3,2018-01-08T22:25:00.0000Z
0,2018-01-17T02:17:00.0000Z
1,2018-01-24T22:20:00.0000Z
2,2018-01-31T13:27:00.0000Z
3,2018-02-07T15:54:00.0000Z
0,2018-02-15T21:05:00.0000Z
